Wiek,Płeć,id_response,cechynieodzowne - zabawki vs książka wartosc,cechynieodzowne - zabawki vs książka rozstep,informacyjnosc - ssak vs Polak wartosc,informacyjnosc - ssak vs Polak rozstep,istota - Pies vs butelka wartosc,istota - Pies vs butelka rozstep,jednorodnosc - kamienie szlachetne vs krzesła wartosc,jednorodnosc - kamienie szlachetne vs krzesła rozstep,nieodwracalnosc - zwierzęta vs uczeń wartosc,nieodwracalnosc - zwierzęta vs uczeń rozstep,odrebnosc - drewno vs miękkie wartosc,odrebnosc - drewno vs miękkie rozstep,stabilnosc - owoce vs pieniądze wartosc,stabilnosc - owoce vs pieniądze rozstep
23,1,41,4.75,7,8.0,3,10.0,0,7.75,4,4.0,6,6.25,9,1.5,6
20,0,42,4.0,5,3.0,3,6.75,2,6.5,5,6.5,4,6.0,4,6.75,1
38,1,67,7.25,8,4.25,3,5.0,0,9.5,2,6.25,10,9.5,2,5.25,8
17,0,43,4.75,5,6.0,3,5.25,8,5.75,3,5.5,4,7.0,3,6.25,4
17,0,45,4.25,9,5.75,6,7.5,10,4.25,6,6.0,8,5.25,7,5.75,10
17,0,44,4.75,7,3.5,7,7.5,1,6.0,5,6.75,6,5.75,7,7.75,7
17,0,46,4.5,5,5.75,7,7.0,6,4.75,7,5.75,8,8.5,3,6.0,4
17,0,47,7.75,7,4.25,7,4.25,9,5.75,5,6.25,3,6.75,6,6.0,6
16,0,49,5.0,10,4.0,7,8.75,2,6.5,6,7.75,1,5.5,8,7.0,8
15,0,48,5.75,7,4.25,8,8.25,3,4.5,6,7.25,9,7.0,6,7.0,7
28,1,116,4.25,7,3.75,2,4.5,7,4.25,4,6.0,4,7.5,4,4.25,9
29,0,115,5.75,6,3.0,9,7.75,7,7.5,8,7.5,7,5.25,10,4.25,10
24,1,68,6.75,2,6.25,1,8.0,2,5.75,3,5.0,7,9.25,1,9.0,2
26,0,69,2.0,2,6.75,2,9.75,1,7.0,2,7.25,1,7.25,2,8.0,6
26,1,70,0.0,0,2.0,2,3.5,8,5.5,5,4.25,10,8.75,3,7.0,10
22,1,216,4.5,7,4.5,4,4.5,7,4.5,5,5.25,4,7.0,5,5.0,6
26,0,217,5.75,7,1.75,1,3.5,7,6.25,5,8.75,1,7.75,1,8.75,2
25,0,150,5.25,6,6.75,6,6.25,6,2.25,5,6.75,4,6.25,7,4.75,8
17,1,102,5.75,3,3.5,3,10.0,0,4.5,1,2.5,6,7.25,6,7.25,6
47,1,103,5.25,6,1.0,2,4.5,7,8.5,2,4.5,6,5.5,5,4.75,7
36,1,51,6.25,8,3.25,2,6.75,8,5.25,5,7.0,7,5.5,10,3.0,7
52,0,50,2.5,1,7.0,4,6.0,6,8.0,0,3.0,0,7.5,1,3.75,5
50,1,151,5.75,4,6.0,4,6.0,0,5.5,2,5.5,4,7.5,3,4.75,3
50,1,152,3.0,4,4.5,6,4.0,6,5.25,4,6.25,6,6.0,7,5.0,4
38,1,103,6.0,2,4.75,3,3.75,3,5.75,3,7.0,0,6.75,4,7.5,1
31,0,94,5.75,8,4.5,7,5.5,8,4.5,8,8.0,7,5.75,9,4.75,10
26,1,95,5.75,5,4.25,6,6.75,4,4.75,5,7.0,5,6.25,4,3.25,2
15,0,71,2.25,2,4.0,10,8.25,6,6.0,3,6.75,7,10.0,0,7.75,6
15,1,72,4.75,7,3.5,8,7.25,6,5.25,7,7.75,2,6.75,7,5.25,8
37,0,117,4.25,3,1.5,1,0.0,0,7.75,4,6.75,3,8.25,5,0.5,2
32,1,118,5.0,7,5.5,5,8.5,1,7.5,5,7.25,2,7.0,6,5.25,7
